model,estimator,target_mode,n_features,train_rows,val_FIT_1step,val_FIT_12,val_FIT_sim,test_FIT_1step,test_FIT_12,test_FIT_sim,test_RMSE_sim
Delta_NNARX_MLP64_small_a10,mlp_delta_a10,delta,111,63066,89.3253316984635,69.1065436589432,66.19907777773626,88.88520149869568,67.9503464732507,64.67408098303582,1.0290225053849094
Delta_NNARX_MLP64_small_a01,mlp_delta_a01,delta,111,63066,89.8522427250546,,65.34171645162434,89.40648050527398,,64.31672438918082,1.0394320853125514
Delta_NNARX_MLP64_nomem_a01,mlp_delta_a01,delta,69,63060,89.93511097862805,,63.97001575226997,89.3470597296363,,61.09824920408781,1.1332134968738192
NNARX_MLP64_compact,mlp64,direct,129,63060,88.67142494661351,,41.415118518648086,88.3490295272253,,55.06618778039574,1.3089282983787953
