model,n_features,hidden_layer_sizes,alpha,val_FIT_1step,val_FIT_12,val_FIT_sim,val_block_FIT_sim,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_robust_score
Delta_NNARX_64_32_a05,85,"[64, 32]",0.05,92.99529516775581,89.22017007206884,62.35543937719616,"[56.75504973830334, 64.1511880929677, 66.90028399216746, 63.27135001304762]",62.769467959121535,3.7214884037877938,60.90872375722764
Delta_NNARX_32_16_a01,85,"[32, 16]",0.01,92.88796978626435,87.2821191552017,61.1092235038319,"[64.02390866953198, 53.91763879739948, 58.611320016706415, 67.04859555698597]",60.900365760155964,5.038736354319215,58.38099758299636
Delta_NNARX_64_32_a01,85,"[64, 32]",0.01,92.58781195179942,84.64370182900122,26.853478826489983,"[49.61961479067234, 22.04469008485721, 15.295996033700943, 15.282051819940822]",25.56058818229283,14.161642405662127,18.479766979461765
