model,na,nb,nk,alpha,n_params,val_FIT_1step,val_FIT_12,val_FIT_sim,val_block_FIT_sim,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_robust_score
ARX_na12_nb2_nk1_alpha0.1,12,2,1,0.1,45,92.43607095113244,89.68706255828134,45.92483671826192,"[65.25882283232296, 32.46407172184114, 70.4599193517785, 67.69775289317411]",58.97014169977918,15.413512283850297,51.26338555785403
ARX_na8_nb2_nk1_alpha0,8,2,1,0.0,41,92.45391402088498,89.70877892874506,44.809730895800804,"[65.18221092481342, 31.395821278691027, 68.80098607978984, 65.58188248195098]",57.74022519131131,15.274511364237403,50.10296950919261
ARX_na8_nb2_nk1_alpha0.001,8,2,1,0.001,41,92.45391686196808,89.7087508631793,44.80916256473441,"[65.18198647229832, 31.39530736046806, 68.80089879821382, 65.58099075258468]",57.73979584589122,15.274575370243607,50.10250816076942
ARX_na8_nb2_nk1_alpha0.01,8,2,1,0.01,41,92.45394186573049,89.70849600330749,44.80405781452612,"[65.1799410703681, 31.390766191309982, 68.80006319877285, 65.57300908217965]",57.735944885657645,15.275108910430983,50.09839043044215
ARX_na8_nb2_nk1_alpha0.1,8,2,1,0.1,41,92.4541453724548,89.70576633793885,44.754132193697096,"[65.15701624488929, 31.352779010987508, 68.78765743125548, 65.49698242358483]",57.698608777679276,15.276716103313651,50.06025072602245
ARX_na2_nb8_nk1_alpha0,2,8,1,0.0,131,92.97841333983233,90.46421218965372,43.344559055047846,"[66.93818717426046, 31.52935706800861, 63.4299934941108, 65.59223006637092]",56.8724419506877,14.68525932103019,49.52981229017261
ARX_na2_nb8_nk1_alpha0.001,2,8,1,0.001,131,92.97848407108448,90.46419441518793,43.340724911662406,"[66.93570464224017, 31.52815113349471, 63.425518791481664, 65.58858076876277]",56.86948883399483,14.684312974390028,49.52733234679982
ARX_na2_nb8_nk1_alpha0.01,2,8,1,0.01,131,92.97909641408883,90.46402500938504,43.306827258241995,"[66.9136882694116, 31.51716452336979, 63.386220122936024, 65.55626085208044]",56.84333344194946,14.676097477002052,49.50528470344844
ARX_na2_nb8_nk1_alpha0.1,2,8,1,0.1,131,92.98357291271104,90.46176151122974,43.01470698994905,"[66.71942667823794, 31.402098913171837, 63.064619189857964, 65.27317647978744]",56.61483031526379,14.614645285160227,49.30750767268368
ARX_na12_nb8_nk2_alpha0,12,8,2,0.0,141,92.4343429530203,89.75454119696458,39.87129906887876,"[57.75424839863168, 30.222762861207375, 64.38291022661916, 59.01653099227355]",52.844113119682945,13.295464424411104,46.19638090747739
ARX_na12_nb8_nk2_alpha0.001,12,8,2,0.001,141,92.43437811334219,89.75455712917524,39.87039832346322,"[57.75318555260414, 30.222135302675035, 64.3821668846231, 59.01592713395419]",52.843353718464115,13.295401865941367,46.19565278549343
ARX_na12_nb8_nk2_alpha0.01,12,8,2,0.01,141,92.43468166381814,89.75469419273439,39.86247083847403,"[57.74382916794585, 30.21671997103008, 64.37557024256152, 59.01058572996662]",52.83667627787602,13.294790376882679,46.18928108943469
ARX_na12_nb8_nk2_alpha0.1,12,8,2,0.1,141,92.43682747350773,89.75564774269135,39.797680718077984,"[57.66656691701475, 30.179464749552043, 64.31833583627511, 58.96517486744612]",52.78238559257201,13.28582222792923,46.1394744786074
ARX_na2_nb5_nk1_alpha0,2,5,1,0.0,83,93.00674755306717,90.46993958479558,40.57571286229354,"[65.39744344333856, 24.60879039635572, 62.11636255837614, 63.713744674362104]",53.959085268108126,16.98506991247032,45.466550311872965
ARX_na2_nb5_nk1_alpha0.001,2,5,1,0.001,83,93.00678832816185,90.46992285300823,40.57422345223315,"[65.39646966777946, 24.607549826645926, 62.11532270694544, 63.71157831366276]",53.95773012875839,16.98500601334843,45.46522712208418
ARX_na2_nb5_nk1_alpha0.01,2,5,1,0.01,83,93.00714107968552,90.4697685519925,40.56091154518644,"[65.38761058081381, 24.596581437146003, 62.10599179354349, 63.69221765338313]",53.945600366221605,16.984353436616118,45.453423647913546
ARX_na2_nb5_nk1_alpha0.1,2,5,1,0.1,83,93.00969935517385,90.4679678946251,40.43701087330659,"[65.29579533907517, 24.500301711568596, 62.01861492738637, 63.51090371164473]",53.831403922418716,16.974016670098543,45.34439558736945
ARX_na8_nb8_nk2_alpha0,8,8,2,0.0,137,92.448638976973,89.72864460952813,38.230413370608616,"[57.313281046410445, 29.85062343943563, 62.95582163371052, 56.157029417670536]",51.56918888430678,12.800335599890156,45.1690210843617
ARX_na8_nb8_nk2_alpha0.001,8,8,2,0.001,137,92.44867314911097,89.7286602732768,38.22956679784454,"[57.31230447092741, 29.84998397265831, 62.955086292281, 56.15639636970838]",51.56844277639377,12.800277035164028,45.16830425881176
ARX_na8_nb8_nk2_alpha0.01,8,8,2,0.01,137,92.44896835014215,89.7287949076645,38.22210803621072,"[57.30368599665796, 29.844460612921598, 62.94855550312831, 56.15079359483719]",51.561873926886264,12.799698706725314,45.16202457352361
ARX_na8_nb8_nk2_alpha0.1,8,8,2,0.1,137,92.45106497701903,89.7297231884905,38.16061340021791,"[57.23113642554553, 29.806010755044852, 62.89161513930931, 56.10287236346822]",51.507908670841985,12.790916438792287,45.11245045144584
ARX_na5_nb2_nk1_alpha0,5,2,1,0.0,38,92.4584612519376,89.62560609349966,36.980671773404694,"[60.55051688784899, 21.15240206165786, 60.799398461304044, 56.8792167143547]",49.8453835312914,16.638451837028875,41.526157612776956
ARX_na5_nb2_nk1_alpha0.001,5,2,1,0.001,38,92.45846418620826,89.62557603245094,36.979987169545545,"[60.55008766450718, 21.151826622962044, 60.79918403507419, 56.87815989005127]",49.84481455314867,16.63848390122491,41.525572602536215
ARX_na5_nb2_nk1_alpha0.01,5,2,1,0.01,38,92.45848995344458,89.62530292190321,36.97382895553577,"[60.54621817673003, 21.146722596844846, 60.79718582637735, 56.86870012037632]",49.83970668008213,16.638733591036573,41.520339884563846
ARX_na5_nb2_nk1_alpha0.1,5,2,1,0.1,38,92.45869565769348,89.62237334505349,36.912859685824685,"[60.506624997125805, 21.10234969669519, 60.77181651884314, 56.778490710888384]",49.789820480888125,16.637808055709495,41.470916453033375
ARX_na12_nb5_nk2_alpha0.1,12,5,2,0.1,93,92.39597067657269,89.3635891873177,32.00683920899523,"[52.334431702713104, 20.26555032856138, 60.50379295936812, 51.43504395986438]",46.13470473762674,15.347752738403287,38.4608283684251
ARX_na12_nb5_nk2_alpha0,12,5,2,0.0,93,92.3940798361687,89.36224885708624,31.993400609834044,"[52.39625527930581, 20.24121338017083, 60.472074980607495, 51.449691494910724]",46.13980878374871,15.358133638026402,38.46074196473551
ARX_na12_nb5_nk2_alpha0.001,12,5,2,0.001,93,92.39410660975474,89.3622677387982,31.993524618925328,"[52.3954642357255, 20.241445148131866, 60.472426982911664, 51.449504396067766]",46.139710190709195,15.35802132466991,38.46069952837424
ARX_na12_nb5_nk2_alpha0.01,12,5,2,0.01,93,92.39433777432026,89.36243083383626,31.994652830586347,"[52.3885501685428, 20.243540974382825, 60.47555595622903, 51.44786594395106]",46.13887826077642,15.357022576774112,38.460366972389366
ARX_na8_nb5_nk2_alpha0.1,8,5,2,0.1,89,92.40718806403687,89.3394198459338,30.462202641998772,"[51.913363148763956, 19.901198031762657, 58.16351983904755, 49.113382615308254]",44.772865908720604,14.728681727998568,37.40852504472132
ARX_na8_nb5_nk2_alpha0.01,8,5,2,0.01,89,92.40554420883034,89.33808597575992,30.442333324365766,"[51.96066891561423, 19.87450614604255, 58.127649846190586, 49.12328895598726]",44.77152846595865,14.738294155781201,37.40238138806805
ARX_na8_nb5_nk2_alpha0.001,8,5,2,0.001,89,92.40531080944753,89.33790293836678,30.44032369433719,"[51.96672702777374, 19.87193383610255, 58.123680930648135, 49.1246660373003]",44.771751957956184,14.739322211610087,37.40209085215114
ARX_na8_nb5_nk2_alpha0,8,5,2,0.0,89,92.40528376866044,89.33788180338871,30.440100078966836,"[51.96742030908443, 19.87164908895175, 58.123234539562176, 49.1248245539233]",44.77178212288041,14.739437693272768,37.40206327624403
ARX_na5_nb8_nk2_alpha0,5,8,2,0.0,134,92.35459704279216,89.18544194223217,27.872582244658428,"[48.59340118087668, 22.233172433614367, 54.898411283257076, 44.54879295990417]",42.568444464413076,12.306230677173575,36.41532912582629
ARX_na5_nb8_nk2_alpha0.001,5,8,2,0.001,134,92.35463300002291,89.18543900213955,27.871163308962345,"[48.591903148088136, 22.23209666141618, 54.897071297329525, 44.54764408154648]",42.56717879709508,12.306109872544113,36.414123860823025
ARX_na5_nb8_nk2_alpha0.01,5,8,2,0.01,134,92.35494340828315,89.18540908900097,27.858604825812982,"[48.5786510120445, 22.222719084360243, 54.88514119215081, 44.53743819165303]",42.55598737005215,12.304963001263898,36.4035058694202
ARX_na5_nb8_nk2_alpha0.1,5,8,2,0.1,134,92.35713747637703,89.18490723423923,27.75025482685729,"[48.464315256036805, 22.150756740492096, 54.77810568742749, 44.446656962717036]",42.45995866166836,12.290236949252176,36.31484018704227
ARX_na5_nb5_nk2_alpha0,5,5,2,0.0,86,92.38760248925952,89.2238547087698,27.8360939497597,"[49.46708938271074, 16.34040716414833, 56.442921095920404, 46.43625170635066]",42.17166733728253,15.34871776922591,34.49730845266957
ARX_na5_nb5_nk2_alpha0.001,5,5,2,0.001,86,92.38762732025381,89.22387070476044,27.836192023485008,"[49.46627519062019, 16.340615346149058, 56.443322501987026, 46.43592349113126]",42.17153413247188,15.348603945615993,34.49723215966389
ARX_na5_nb5_nk2_alpha0.01,5,5,2,0.01,86,92.38784165087009,89.22400769116624,27.837067192286558,"[49.459133471934734, 16.34249087103753, 56.44686424459853, 46.4330224822448]",42.1703777674539,15.34758863266724,34.49658345112028
ARX_na5_nb5_nk2_alpha0.1,5,5,2,0.1,86,92.38935074761746,89.22489516322986,27.845246991235882,"[49.40132604177134, 16.36166889773072, 56.47681678425827, 46.40814875545461]",42.16199011980374,15.337932433559395,34.49302390302404
ARX_na12_nb1_nk1_alpha0,12,1,1,0.0,29,91.23282199980699,86.10276908066822,25.002969953842946,"[45.829447432926294, 14.640847287012615, 57.81084954613503, 41.16286170683377]",39.86100149322693,15.776330453075934,31.97283626668896
ARX_na12_nb1_nk1_alpha0.001,12,1,1,0.001,29,91.23282338179614,86.10266994257717,25.002026446176796,"[45.82812791711453, 14.641323621801504, 57.80959071576051, 41.16179552038361]",39.86020944376504,15.775635227844935,31.972391829842568
ARX_na12_nb1_nk1_alpha0.01,12,1,1,0.01,29,91.23283576961195,86.10177775901377,24.9935346081261,"[45.81625539754296, 14.645600966385997, 57.79826158382304, 41.152200876549664]",39.85307970607542,15.769382654214937,31.96838837896795
ARX_na12_nb1_nk1_alpha0.1,12,1,1,0.1,29,91.23295470742787,86.09286012321668,24.908594413062644,"[45.69783979722519, 14.6874309960195, 57.68500993827854, 41.056359052200385]",39.781659945930905,15.707293762639782,31.928013064611015
ARX_na12_nb3_nk2_alpha0.1,12,3,2,0.1,61,92.26879458446732,88.58114905887687,24.363833374576917,"[46.00992241226513, 10.510079518666348, 55.48464068612707, 43.67098371282351]",38.91890658247051,16.987861431662047,30.42497586663949
ARX_na12_nb3_nk2_alpha0.01,12,3,2,0.01,61,92.26740082060904,88.58017516160427,24.33014612948434,"[46.07857904407487, 10.425525077216735, 55.43896498139621, 43.68344063035345]",38.90662743326032,17.020180745579083,30.396537060470777
ARX_na12_nb3_nk2_alpha0.001,12,3,2,0.001,61,92.26721043122123,88.58003880877816,24.327638674981056,"[46.088143163755305, 10.41617830393038, 55.4356488330904, 43.68550258019397]",38.90636822024251,17.024438725076514,30.394148857704256
ARX_na12_nb3_nk2_alpha0,12,3,2,0.0,61,92.26718846361466,88.58002310112309,24.32737774026701,"[46.089249362785935, 10.415125151561021, 55.43530773830355, 43.68574492593235]",38.90635679464571,17.02493022300448,30.393891683143472
ARX_na5_nb3_nk2_alpha0.1,5,3,2,0.1,54,92.29315975644306,88.55628982694195,24.167154528364676,"[46.3002244626982, 11.232081287891038, 53.183118114305714, 42.18163055358383]",38.22426360461969,16.07192530012695,30.18830095455622
ARX_na5_nb3_nk2_alpha0.01,5,3,2,0.01,54,92.29187624365441,88.55498511434298,24.111602670256772,"[46.35287156290179, 11.12527088646772, 53.11079102127045, 42.18047865773492]",38.19235303209372,16.106566491749067,30.13906978621919
ARX_na5_nb3_nk2_alpha0.001,5,3,2,0.001,54,92.29170006459243,88.55481501709671,24.106787566151777,"[46.360592286299486, 11.113745517482943, 53.10447885440901, 42.181381777543336]",38.19004960893369,16.11098183766151,30.134558690102935
ARX_na5_nb3_nk2_alpha0,5,3,2,0.0,54,92.29167972814668,88.55479555134019,24.106268338233228,"[46.361489725483516, 11.11245154356203, 53.103799757831936, 42.18149838410679]",38.189809852746066,16.111489356720252,30.13406517438594
ARX_na8_nb3_nk2_alpha0.1,8,3,2,0.1,57,92.28635421631994,88.54647136708867,22.5945799057525,"[45.606657648779326, 10.652357894810649, 52.92187985858669, 40.99642576528705]",37.54433029186593,16.09786706095396,29.495396761388953
ARX_na8_nb3_nk2_alpha0.01,8,3,2,0.01,57,92.28498240461178,88.54526349922011,22.554421023533067,"[45.66627587960066, 10.567225574648976, 52.8706151402057, 41.00631865997878]",37.52760881360853,16.129239220557416,29.462989203329823
ARX_na8_nb3_nk2_alpha0.001,8,3,2,0.001,57,92.28479447692696,88.54510062395488,22.551108846957046,"[45.67464944125016, 10.557845751557027, 52.866670100545655, 41.008108947052236]",37.52681856010127,16.133374340609542,29.460131389796498
ARX_na8_nb3_nk2_alpha0,8,3,2,0.0,57,92.28477278223136,88.5450819258441,22.550756140633887,"[45.675618847783184, 10.556789638130448, 52.866258333388984, 41.0083208930908]",37.526746928098355,16.13385165740713,29.459821099394787
ARX_na8_nb1_nk1_alpha0,8,1,1,0.0,25,91.25470781423937,86.06311064751426,21.66315961638674,"[43.777311732087774, 11.551502166675998, 52.621407745431156, 36.68943598334246]",36.15991440688435,15.287738968115985,28.516044922826353
ARX_na8_nb1_nk1_alpha0.001,8,1,1,0.001,25,91.25470897940365,86.0630145948514,21.66243617676239,"[43.776191619088465, 11.552118690010483, 52.620355543117036, 36.68859584275078]",36.15931542374169,15.28706081659767,28.51578501544285
ARX_na8_nb1_nk1_alpha0.01,8,1,1,0.01,25,91.25471941762926,86.06215017563471,21.655924366931856,"[43.766112979768124, 11.557657572756142, 52.610885998581594, 36.68103472159932]",36.1539228181763,15.2809619065624,28.5134418648951
ARX_na8_nb1_nk1_alpha0.1,8,1,1,0.1,25,91.2548190401972,86.05351144113035,21.590726509555513,"[43.66556264485554, 11.612086954188772, 52.51622297933469, 36.60544062857891]",36.09982830173948,15.220409574735323,28.489623514371818
ARX_na3_nb2_nk2_alpha0.1,3,2,2,0.1,36,91.93825020716413,86.5596388364168,19.773725038219236,"[38.6919948551616, 9.2734012514467, 53.597528846657205, 34.72384976097668]",34.07169367856055,15.95294672490529,26.095220316107905
ARX_na3_nb2_nk2_alpha0.01,3,2,2,0.01,36,91.93689653321879,86.55647477196915,19.679953958161732,"[38.75596025643533, 9.134364473341794, 53.46555268996187, 34.71134344388681]",34.01680521590645,15.971314985506945,26.03114772315298
ARX_na3_nb2_nk2_alpha0.001,3,2,2,0.001,36,91.93670677430038,86.55605593973027,19.668577603227998,"[38.764348316995964, 9.119618897383063, 53.448540536783916, 34.71050623587719]",34.01075349676003,15.972495611742218,26.024505690888923
ARX_na3_nb2_nk2_alpha0,3,2,2,0.0,36,91.93668484627553,86.55600776113255,19.667284481414924,"[38.7653103011859, 9.117968363103335, 53.446594270807736, 34.71041961502937]",34.010073137531585,15.972617189557154,26.023764542753007
ARX_na3_nb1_nk1_alpha0.1,3,1,1,0.1,20,91.25121336161766,85.97089564552999,18.79656637363403,"[42.16624854155704, 6.457865396100059, 48.94400069866642, 32.589225991304986]",32.53933515690713,16.140291716940766,24.469189298436746
ARX_na3_nb1_nk1_alpha0.01,3,1,1,0.01,20,91.2510226792357,85.97941632735912,18.764286823846057,"[42.19399327478022, 6.305649507837496, 48.94221029683714, 32.56296253397847]",32.50120390335833,16.20546004627998,24.39847388021834
ARX_na3_nb1_nk1_alpha0.001,3,1,1,0.001,20,91.25100324794921,85.9802670955388,18.761031465735446,"[42.19676489889408, 6.290329080616641, 48.942015273638425, 32.560313793952645]",32.49735576177545,16.21201387282832,24.39134882536129
ARX_na3_nb1_nk1_alpha0,3,1,1,0.0,20,91.25100108483184,85.98036161060979,18.760669446125355,"[42.197072823085676, 6.288625687714577, 48.94199341906008, 32.56001923361463]",32.496927790868746,16.21274249488582,24.390556543425838
ARX_na5_nb1_nk1_alpha0,5,1,1,0.0,22,91.25832604686323,86.03717405847583,17.512790445083215,"[41.13859475107493, 4.586365377301571, 48.225707694918775, 31.44027391158741]",31.347735433720672,16.55978837793894,23.0678412447512
ARX_na5_nb1_nk1_alpha0.001,5,1,1,0.001,22,91.25832723307867,86.03706644687817,17.511550962585098,"[41.13710087086887, 4.586504574899886, 48.22400314988826, 31.438914930488526]",31.346630881536385,16.559075106941986,23.06709332806539
ARX_na5_nb1_nk1_alpha0.01,5,1,1,0.01,22,91.25833786012024,86.03609801150918,17.500396920354568,"[41.123659823904156, 4.58774892300714, 48.2086648374578, 31.426686069546882]",31.336689913479,16.552660369883064,23.060359728537467
ARX_na5_nb1_nk1_alpha0.1,5,1,1,0.1,22,91.25843930653748,86.02642053904111,17.388989586144078,"[40.989633296206286, 4.5993716479413305, 48.05554308264097, 31.30459536911593]",31.23728584897613,16.48897404830277,22.992798824824746
ARX_na3_nb8_nk2_alpha0,3,8,2,0.0,132,92.15224805676138,87.78077958475481,11.126367849040463,"[33.540669533510226, 7.49657636753197, 41.147997847280685, 25.371258909069827]",26.889125664348175,12.509330112847968,20.63446060792419
ARX_na3_nb8_nk2_alpha0.001,3,8,2,0.001,132,92.15228694026864,87.7807376354604,11.124240592447832,"[33.53838042807292, 7.494834777620318, 41.14581898234969, 25.36947286070822]",26.887126762187783,12.50913407211558,20.632559726129994
ARX_na3_nb8_nk2_alpha0.01,3,8,2,0.01,132,92.15262301002234,87.78036032837795,11.105378272173771,"[33.51809812427599, 7.47958008964329, 41.12641109417176, 25.353577218574653]",26.869416631666425,12.507301736852906,20.61576576323997
ARX_na3_nb8_nk2_alpha0.1,3,8,2,0.1,132,92.15502224165937,87.77668513156215,10.939868764667482,"[33.3406681561248, 7.357287799509161, 40.9509486736672, 25.20984366333834]",26.714687073159872,12.485473859624882,20.47195014334743
ARX_na3_nb3_nk2_alpha0.1,3,3,2,0.1,52,92.19679091857905,87.92408664899524,12.81334901618909,"[37.55461604989914, 0.40433423927921375, 43.43208713866421, 29.925178959386955]",27.82905409680738,16.541993487123356,19.5580573532457
ARX_na3_nb3_nk2_alpha0.01,3,3,2,0.01,52,92.19555600774409,87.92338866399079,12.792804039356298,"[37.63888032076211, 0.32364409479485046, 43.39099942377065, 29.961707103113355]",27.82880773561024,16.57937439173238,19.53912053974405
ARX_na2_nb1_nk2_alpha0.1,2,1,2,0.1,19,91.61282273333919,84.18936508385231,13.976752614514377,"[32.085119670050354, 1.5607243534535797, 53.70812001891467, 27.869561012418487]",28.80588126370927,18.534091360411406,19.53883558350357
ARX_na3_nb3_nk2_alpha0.001,3,3,2,0.001,52,92.19538280887303,87.92327643635305,12.791556680706783,"[37.649972484683516, 0.3144146353467048, 43.38809313782255, 29.96640791101841]",27.829722042217796,16.584313357038972,19.53756536369831
ARX_na3_nb3_nk2_alpha0,3,3,2,0.0,52,92.19536276658675,87.92326340014883,12.791435289367293,"[37.6512478557304, 0.313370885452402, 43.387798028671334, 29.966947030811518]",27.829840950166414,16.584883247128193,19.53739932660232
ARX_na2_nb1_nk2_alpha0.01,2,1,2,0.01,19,91.61268112020076,84.18819464104573,13.986812728163356,"[32.1510806292637, 1.3849518783457526, 53.76652036109873, 27.872621326515556]",28.793793548805933,18.62123533067483,19.48317588346852
ARX_na2_nb1_nk2_alpha0.001,2,1,2,0.001,19,91.61266658098936,84.18807008057372,13.987749054400533,"[32.157678895484544, 1.3671328675542993, 53.77230752244601, 27.87286887361432]",28.792497039774794,18.63002748666169,19.47748329644395
ARX_na2_nb1_nk2_alpha0,2,1,2,0.0,19,91.61266496122789,84.18805615449321,13.987852293366277,"[32.15841205519686, 1.365150227617551, 53.77294993118227, 27.872895711541478]",28.792351981384538,18.631005274970704,19.476849343899186
ARX_na12_nb2_nk2_alpha0.1,12,2,2,0.1,45,91.91414715745722,86.70128695112984,13.69035206656286,"[34.23447036315209, 0.29452546287902504, 47.05528289208476, 29.913879218463578]",27.874539484144865,17.12575340264021,19.31166278282476
ARX_na12_nb2_nk2_alpha0.01,12,2,2,0.01,45,91.91273408693161,86.69865318857072,13.621136480079032,"[34.312146432784864, 0.1851326552412269, 46.94660906653554, 29.914863146904835]",27.839687825366614,17.146777641976968,19.26629900437813
ARX_na12_nb2_nk2_alpha0.001,12,2,2,0.001,45,91.91253670517541,86.69828654756607,13.612420103125189,"[34.32207259748979, 0.1735991116170621, 46.9321652645705, 29.915073903884704]",27.835727719390515,17.148350040620333,19.261552699080347
ARX_na12_nb2_nk2_alpha0,12,2,2,0.0,45,91.912513906136,86.69824415912466,13.611425480197125,"[34.3232080436471, 0.1723089741823447, 46.93050797920763, 29.915099187209492]",27.83528104606164,17.148517105745352,19.261022493188968
ARX_na8_nb2_nk2_alpha0.1,8,2,2,0.1,41,91.93038229212398,86.64528042886582,11.964618665905679,"[33.812018166228, 1.5142134510045202, 44.22237276927154, 27.1664465147601]",26.678762725316037,15.749237776932375,18.80414383684985
ARX_na8_nb2_nk2_alpha0.01,8,2,2,0.01,41,91.92898793659633,86.64207617735781,11.882483056094406,"[33.8754559931176, 1.4014067873129976, 44.09739844807565, 27.161476387074877]",26.63393440389528,15.766824044613092,18.750522381588738
ARX_na8_nb2_nk2_alpha0.001,8,2,2,0.001,41,91.92879291484714,86.64164088547041,11.872215994461833,"[33.88363403774785, 1.3894510374632962, 44.08093684765279, 27.161122728576803]",26.628786162860184,15.767988148490609,18.74479208861488
ARX_na8_nb2_nk2_alpha0,8,2,2,0.0,41,91.92877038499904,86.6415906990105,11.871045268236601,"[33.88457042231655, 1.3881128447892577, 44.07904965136588, 27.16108580139086]",26.628204679965634,15.768108892162035,18.744150233884618
ARX_na3_nb5_nk2_alpha0,3,5,2,0.0,84,92.18270781380585,87.78850347977082,9.780997185524964,"[33.79330979213564, -0.12888609174308563, 40.84316880984559, 26.171446141924193]",25.169759663040583,15.500372769228633,17.419573278426267
ARX_na3_nb5_nk2_alpha0.001,3,5,2,0.001,84,92.18273519194342,87.78849278838815,9.780280145391696,"[33.79154740916748, -0.12894060736998725, 40.84251885164806, 26.170373006474236]",25.16887466497995,15.499968256625454,17.41889053666722
ARX_na3_nb5_nk2_alpha0.01,3,5,2,0.01,84,92.18297209472016,87.78839055243338,9.773892771841574,"[33.77598167696132, -0.12944934922787255, 40.836706597440696, 26.160824172694007]",25.16101577446704,15.496387992727477,17.4128217781033
ARX_na3_nb5_nk2_alpha0.1,3,5,2,0.1,84,92.18467359821666,87.78698361346991,9.715790684163327,"[33.64296046267307, -0.13534814788955796, 40.78240046789215, 26.07442045245011]",25.091108308781443,15.46521769178173,17.358499462890578
ARX_na5_nb2_nk2_alpha0.1,5,2,2,0.1,38,91.9448988003098,86.56249296236267,8.170573439617668,"[31.22242913728718, -3.935667812403554, 38.29213758368898, 22.47154045547929]",22.01260984101297,15.995058029609273,14.015080826208333
ARX_na5_nb2_nk2_alpha0.01,5,2,2,0.01,38,91.94357341465656,86.55884377031546,8.082613950027785,"[31.275362400232943, -4.061630845273978, 38.15298615541229, 22.465494998857928]",21.9580531773073,16.018501483894788,13.948802435359905
ARX_na5_nb2_nk2_alpha0.001,5,2,2,0.001,38,91.94338660034687,86.55836116745661,8.071962112353038,"[31.282479939155472, -4.074980571661668, 38.135066809255015, 22.465445105896197]",21.952002820661253,16.020431102206526,13.94178726955799
ARX_na5_nb2_nk2_alpha0,5,2,2,0.0,38,91.9433650027278,86.55830568686163,8.070751578673562,"[31.283298322755794, -4.076474819533149, 38.133017110684854, 22.465448056256708]",21.95132216754105,16.02063959104207,13.941002372020016
ARX_na2_nb2_nk2_alpha0.1,2,2,2,0.1,35,91.84622808431286,85.7777461076894,3.6607939249913124,"[26.257887165665828, -7.152147402252251, 36.846749934161494, 17.541775219046862]",18.373566229155486,16.24557605554453,10.250778201383222
ARX_na2_nb2_nk2_alpha0.01,2,2,2,0.01,35,91.84492253221113,85.77630226948197,3.611544265486888,"[26.360056541703415, -7.243861481312597, 36.740065352931005, 17.585781511915478]",18.360510481309326,16.26333947124357,10.228840745687542
ARX_na2_nb2_nk2_alpha0.001,2,2,2,0.001,35,91.84473633162918,85.77602273824093,3.6044053820927235,"[26.372261248854343, -7.254082987933086, 36.724672242806044, 17.590659458876466]",18.358377490650945,16.264460016831,10.226147482235445
ARX_na2_nb2_nk2_alpha0,2,2,2,0.0,35,91.84471477760212,85.77598953201611,3.603579871254692,"[26.373647193618655, -7.255233940790062, 36.72289252479706, 17.591208810255278]",18.358128646970233,16.264574994047827,10.22584114994632
ARX_na3_nb1_nk2_alpha0.1,3,1,2,0.1,20,91.60993761642844,84.14699219413693,4.131145368597943,"[25.56414781687889, -9.595126009559385, 40.41862431633724, 17.109944635044137]",18.37439768967522,18.176451330971293,9.286172024189574
ARX_na3_nb1_nk2_alpha0.01,3,1,2,0.01,20,91.60973797885535,84.1455820914832,4.092836893169249,"[25.58809910697615, -9.817318151350939, 40.4329358447652, 17.06355318186675]",18.31681749556429,18.269472400341307,9.182081295393637
ARX_na3_nb1_nk2_alpha0.001,3,1,2,0.001,20,91.6097176413641,84.14543318362249,4.0889501327077244,"[25.590493352133027, -9.839752038187545, 40.43433400396053, 17.05886615208606]",18.31098536749802,18.27885123853726,9.17155974822939
ARX_na3_nb1_nk2_alpha0,3,1,2,0.0,20,91.6097153774031,84.14541654788313,4.088517630107735,"[25.59075936487559, -9.842247134258542, 40.43448897119919, 17.05834482377955]",18.310336506398947,18.279894201700948,9.170389405548473
ARX_na12_nb1_nk2_alpha0.1,12,1,2,0.1,29,91.60180233772019,84.38546857771921,-0.3222159290182436,"[21.38224686531094, -16.750906543104115, 36.694796984718614, 14.196752451108985]",13.880722439508606,19.462473090295976,4.149485894360618
ARX_na12_nb1_nk2_alpha0.01,12,1,2,0.01,29,91.60167860657317,84.38458866889191,-0.3113595491798016,"[21.439834046935637, -16.915598708259914, 36.76317720695344, 14.207661229292945]",13.873768443730528,19.55292175260662,4.097307567427219
ARX_na12_nb1_nk2_alpha0.001,12,1,2,0.001,29,91.60166587721352,84.38449333884574,-0.31030925719315317,"[21.445610184913345, -16.93226039670048, 36.769999083191706, 14.208730479306542]",13.873019837677777,19.562040889756492,4.091999392799531
ARX_na12_nb1_nk2_alpha0,12,1,2,0.0,29,91.60166445879295,84.38448266160377,-0.3101929657050251,"[21.446252170863524, -16.934113886240688, 36.77075687550683, 14.208849035437176]",13.87293604889171,19.563054969325204,4.091408564229107
ARX_na2_nb8_nk2_alpha0,2,8,2,0.0,131,91.89151064317768,85.6542026324416,-5.8759157340625645,"[16.419302907058952, -8.797728690599182, 25.774437421767804, 5.049408316916814]",9.611354988786097,12.916066622088033,3.1533216777420803
ARX_na2_nb8_nk2_alpha0.001,2,8,2,0.001,131,91.89155977156827,85.65409609809451,-5.878433288823182,"[16.416400841035006, -8.800034304508419, 25.771622327545817, 5.047279952848182]",9.608817204230146,12.915812986344529,3.1509107110578816
ARX_na2_nb8_nk2_alpha0.01,2,8,2,0.01,131,91.89198283745607,85.65314472168312,-5.900762637721235,"[16.39069853601276, -8.82024304811997, 25.74653536329581, 5.028333378211269]",9.586331057349968,12.91345164100002,3.129605236849958
