model,na,nb,nk,alpha,n_params,val_FIT_1step,val_FIT_12,val_FIT_sim,val_block_FIT_sim,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_robust_score
ARX_na12_nb5_nk4_alpha0.001,12,5,4,0.001,93,88.72103414791171,-35.29754648979342,-209.8119699086566,"[-192.53579130573195, -257.66522919508174, -195.41529793533678, -228.0883065297906]",-218.42615624148527,26.612368322565697,-231.73234040276813
ARX_na12_nb5_nk4_alpha0,12,5,4,0.0,93,88.72100199420858,-35.3010957872347,-209.81473054620477,"[-192.5575593401332, -257.66600447741496, -195.39845166223105, -228.09259182091267]",-218.42865182517295,26.611393825353787,-231.73434873784984
ARX_na12_nb5_nk4_alpha0.01,12,5,4,0.01,93,88.72131630494673,-35.26573200622296,-209.83319266171344,"[-192.4692903857109, -257.65928667413493, -195.6031542514387, -228.05565730452938]",-218.44684715395348,26.582947573140608,-231.73832094052378
ARX_na12_nb5_nk4_alpha0.1,12,5,4,0.1,93,88.72361836245709,-34.95643428648538,-210.47804665945864,"[-192.29030238202003, -257.63054463554005, -198.97186490651796, -227.75387028059]",-219.161645551167,25.90067011081804,-232.11198060657603
ARX_na8_nb5_nk4_alpha0.1,8,5,4,0.1,89,88.73311314347009,-36.03656808901101,-216.17960466438245,"[-182.2682136028049, -271.7097756512243, -227.73184334795678, -225.75099078736224]",-226.86520584733705,31.63036394792166,-242.68038782129787
ARX_na8_nb5_nk4_alpha0.01,8,5,4,0.01,89,88.73091740809467,-36.34495021296256,-216.5908771037735,"[-183.21684893471408, -272.2575198414147, -227.85029773673213, -225.80487930795005]",-227.28238645520275,31.49222035150516,-243.02849663095535
ARX_na8_nb5_nk4_alpha0.001,8,5,4,0.001,89,88.73064828405766,-36.376724271407326,-216.63747097412516,"[-183.3255697775154, -272.31190931653526, -227.86474769915043, -225.81469478031423]",-227.32923039337882,31.473576805027633,-243.06601879589263
ARX_na8_nb5_nk4_alpha0,8,5,4,0.0,89,88.73061761929513,-36.38026961793612,-216.6428981157209,"[-183.33863112050017, -272.31800186981343, -227.86638083112632, -225.81585717721632]",-227.33471774966407,31.47118162694921,-243.07030856313867
ARX_na12_nb8_nk4_alpha0.1,12,8,4,0.1,141,88.67990737701615,-51.77906599645068,-224.26566787594547,"[-208.35510568538473, -270.86731757419204, -208.65874745182924, -235.67548689146074]",-230.88916440071668,25.608284079837674,-243.69330644063552
ARX_na12_nb8_nk4_alpha0.01,12,8,4,0.01,141,88.67611253907764,-52.10637177183046,-224.33440836038682,"[-208.44619119027453, -271.13987239686776, -208.5009255046049, -235.83937721454458]",-230.98159157657295,25.73669664776472,-243.84993990045533
ARX_na12_nb8_nk4_alpha0.001,12,8,4,0.001,141,88.67561772629897,-52.13945528163462,-224.35429362961332,"[-208.47731374033773, -271.1607919727195, -208.51724518256205, -235.8501937517008]",-231.00138616183003,25.7349919572142,-243.86888214043714
ARX_na12_nb8_nk4_alpha0,12,8,4,0.0,141,88.67556083711347,-52.14313808341582,-224.35440025008134,"[-208.4730110855222, -271.1631008115168, -208.51929313398526, -235.85141116941776]",-231.0017040501105,25.736444277834668,-243.86992618902784
ARX_na8_nb8_nk4_alpha0,8,8,4,0.0,137,88.6793924081184,-44.80997964761333,-223.60298283865365,"[-199.42915435955672, -275.0256154182735, -224.98490357860166, -239.191349667141]",-234.65775575589322,27.31636868737968,-248.31594009958306
ARX_na8_nb8_nk4_alpha0.1,8,8,4,0.1,137,88.68376194052354,-44.47096206483827,-223.61433144335567,"[-198.9188374632955, -274.7328900715569, -225.90664514017448, -239.1186387880293]",-234.66925286576407,27.293623599864233,-248.3160646656962
ARX_na8_nb8_nk4_alpha0.001,8,8,4,0.001,137,88.67944943975864,-44.80660072315803,-223.602795604452,"[-199.42282971055457, -275.03181458785485, -224.98876248725108, -239.19046898299158]",-234.658468942163,27.32032008405467,-248.31862898419035
ARX_na8_nb8_nk4_alpha0.01,8,8,4,0.01,137,88.67994569000044,-44.776188224145905,-223.60163090485688,"[-199.3670145219518, -275.0605731894756, -225.0430593106708, -239.1833131506031]",-234.6634900431753,27.34386128251999,-248.3354206844353
