model,val_FIT_sim,test_FIT_sim,test_RMSE_sim,test_gain_vs_arx_search_best
NARX V5 HGBR best-tested,70.18367926430456,68.53103249559682,0.9166077951621896,1.697289704134576
NARX V6 validation-band promoted,70.18367926430456,68.53103249559682,0.9166077951621896,1.697289704134576
NARX V5 HGBR best-by-val,70.26960183105156,67.44940731208276,0.9480923589005495,0.6156645206205127
ARX Search V1 best,68.95594283365008,66.83374279146224,0.9661128722675418,0.0
NARX V1,61.219940654803786,54.24905146454996,1.3326972657972955,-12.584691326912285
NARX V2,65.94197096065102,53.924163707455094,1.3421610482855613,-12.909579084007149
NARX V3,65.94197096065102,53.924163707455094,1.3421610482855613,-12.909579084007149
NARX V4,29.6988,-29.247,3.7649,-96.08074279146224
