model,hidden_layer_sizes,alpha,learning_rate_init,val_FIT_1step,val_FIT_sim,val_robust_score,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_block_FIT_sim,test_FIT_1step,test_FIT_sim,test_RMSE_sim
delta_nnarx_mlp64_a01_rs1,"[64, 32]",0.01,0.0006,97.00617329901021,86.45303438115582,81.10637393072068,82.06285490712271,1.9129619528040755,"[81.49471208170485, 84.13974944684672, 83.41362164188398, 79.20333645805526]",85.89389964147108,76.29455891114262,0.3305579728250043
delta_nnarx_mlp64_a01,"[64, 32]",0.01,0.0006,97.00697822267608,86.56999008421009,80.48712171146754,82.09762754077624,3.221011658617416,"[80.3314196106517, 85.1266096355562, 85.2350693310165, 77.69741158588053]",85.88891880350833,66.70032293095235,0.4643437642189949
delta_nnarx_mlp96_a01,"[96, 48]",0.01,0.0005,96.99676195400993,79.72589600930232,67.19453803301252,72.93582330017958,11.482570534334103,"[81.496748697693, 79.45116498430576, 77.60448435955402, 53.19089515916551]",85.87271334969616,55.551381969176106,0.6198089719599594
delta_nnarx_mlp64_a03,"[64, 32]",0.03,0.0006,96.96762212536778,68.97159139252257,52.68224677295847,59.14111954547793,12.917745545038914,"[73.3687915723849, 64.5336245456962, 60.36486910157662, 38.297192962254]",85.87356531140487,56.00743168676509,0.6134496357388552
