model,shrink,train_seconds,val_FIT_sim,val_RMSE_sim,test_FIT_sim,test_RMSE_sim,test_Bias_sim
random_forest_leaf5,0.8,27.14062738418579,71.22978762239715,0.8637798101062104,69.45503866808122,0.8897561199062439,-0.00014261394965253091
random_forest_leaf5,1.0,27.14062738418579,71.17332213718336,0.8654750963785321,69.43805293923202,0.890250903842305,-0.005901220348726456
random_forest_leaf5,0.7,27.14062738418579,71.16249880396633,0.8658000497222275,69.36281337516945,0.8924425865180923,0.0024089615118660364
hgb_31,1.0,2.6571922302246094,71.08132313474822,0.868237219918338,69.2858907710909,0.8946832951244731,-0.04047704134518441
hgb_31,0.8,2.6571922302246094,71.05732180695558,0.8689578215632239,69.21627126316359,0.8967112689879877,-0.027972076100997677
random_forest_leaf5,0.6,27.14062738418579,71.0308479080909,0.8697526582169811,69.20258689394569,0.8971098863287127,0.004809159067513031
extra_trees_leaf5,0.8,6.221436500549316,70.98023311200679,0.8712722868654001,69.31913768577643,0.8937148327490264,-0.004248539049781386
hgb_15_l2,1.0,0.9063971042633057,70.96993474219853,0.8715814790187508,69.09518909663691,0.9002383187526908,-0.04704116485237483
hgb_31,0.7,2.6571922302246094,70.96695022210453,0.871671084481728,69.10297422028053,0.9000115428425541,-0.021992077922609658
extra_trees_leaf5,0.7,6.221436500549316,70.9240059904808,0.8729604166475896,69.23345122177389,0.8962108272572828,-0.0011691818977086674
extra_trees_leaf5,1.0,6.221436500549316,70.91607521555999,0.8731985255348363,69.29805424842776,0.8943289804379294,-0.010923184906731779
hgb_15_l2,0.8,0.9063971042633057,70.9021957114957,0.8736152355412716,68.99851648888226,0.903054332937234,-0.03317489172443229
random_forest_leaf5,0.5,27.14062738418579,70.83548756291637,0.8756180414697137,68.9717708288247,0.9038334177250179,0.007005854500480362
hgb_31,0.6,2.6571922302246094,70.82589107566595,0.875906160717012,68.93536164092689,0.9048939951931267,-0.016165399721890152
extra_trees_leaf5,0.6,6.221436500549316,70.80987335481606,0.8763870672773273,69.08465238503945,0.9005452467440429,0.0017982410924375393
hgb_15_l2,0.7,0.9063971042633057,70.80290799664944,0.8765961910639547,68.88491024915777,0.9063636135074724,-0.026534722741057636
hgb_15_l2,0.6,0.9063971042633057,70.66144235338336,0.8808434717191389,68.72652992704742,0.9109771358275397,-0.020029668264163636
extra_trees_leaf5,0.5,6.221436500549316,70.63782744013263,0.8815524718827692,68.86871742034477,0.906835300748402,0.004544578788213349
hgb_31,0.5,2.6571922302246094,70.63481996839644,0.8816427664322527,68.71356906801158,0.911354677757322,-0.010500276869100217
random_forest_leaf5,0.4,27.14062738418579,70.57840412528844,0.8833365622794025,68.67187488696305,0.9125692038570374,0.009020681348797344
hgb_15_l2,0.5,0.9063971042633057,70.47831105730246,0.8863416972475816,68.52072629505489,0.9169720702808677,-0.013723548550262882
extra_trees_leaf5,0.4,6.221436500549316,70.40858665091845,0.8884350615132222,68.5850126820062,0.9150994469831973,0.0070570535220950215
hgb_31,0.4,2.6571922302246094,70.39460282708903,0.8888549035544765,68.43833026217166,0.9193722165346864,-0.004985334300872315
random_forest_leaf5,0.3,27.14062738418579,70.26040118940726,0.8928840940099124,68.30540383664146,0.9232442823503065,0.010929349196778739
hgb_15_l2,0.4,0.9063971042633057,70.25388847087586,0.8930796280123205,68.26923028844153,0.9242979957775347,-0.007573421983450251
ridge_1,0.8,0.09836125373840332,70.16581479580435,0.895723899849113,68.40873228291116,0.920234387643621,0.0182952006370749
ridge_0.1,0.8,0.09030032157897949,70.16551280656651,0.8957329665950613,68.40968187600825,0.9202067265750612,0.01830521186878703
ridge_1,1.0,0.09836125373840332,70.14522208579803,0.8963421631731846,68.51100583228713,0.9172552214409542,0.017429153433640314
ridge_0.1,1.0,0.09030032157897949,70.14376972744847,0.8963857679197511,68.51143867251824,0.9172426130686476,0.017437171224727266
ridge_0.1,0.7,0.09030032157897949,70.12692318631562,0.8968915584891667,68.31681798389933,0.9229117951925775,0.018457869889330368
ridge_1,0.7,0.09836125373840332,70.12681062290231,0.8968949380263941,68.31570771131251,0.9229441367568095,0.018448091902097716
extra_trees_leaf5,0.3,6.221436500549316,70.12404913927452,0.8969778471746589,68.23692189961962,0.9252391194661925,0.009454583384219124
hgb_31,0.3,2.6571922302246094,70.10509892678236,0.8975467971265435,68.11060488981379,0.9289186570272879,0.0004197711260649751
ridge_0.1,0.6,0.09030032157897949,70.05547858910417,0.8990365687449988,68.1938558806493,0.9264936063690389,0.018443520843106208
ridge_1,0.6,0.09836125373840332,70.05506135174228,0.8990490956323394,68.19265519379425,0.9265285816458373,0.018434192731366435
hgb_15_l2,0.3,0.9063971042633057,69.98811105128188,0.9010591717853838,67.9731652586337,0.9329221897746789,-0.0015264639063298096
ridge_0.1,0.5,0.09030032157897949,69.95142671516453,0.9021605605575426,68.0415277030756,0.9309308334048688,0.018323683352713206
ridge_1,0.5,0.09836125373840332,69.950811138241,0.9021790422743658,68.04032607641707,0.9309658360575698,0.018315594273142836
random_forest_leaf5,0.2,27.14062738418579,69.8811826632537,0.904269526352591,67.875545058144,0.935765806758454,0.012759551943854511
ridge_0.1,0.4,0.09030032157897949,69.81504830721101,0.9062551050738833,67.85873216118677,0.9362555562067668,0.018091521841533356
ridge_1,0.4,0.09836125373840332,69.81434541169148,0.9062762083924971,67.8576077822822,0.9362883086794436,0.01808465274186381
extra_trees_leaf5,0.2,6.221436500549316,69.78597411447946,0.9071280114100287,67.82786936350095,0.9371545707060808,0.011780227057822725
hgb_31,0.2,2.6571922302246094,69.76762607183578,0.9076788821711677,67.73277085373967,0.9399247323747961,0.005747049884927375
hgb_15_l2,0.2,0.9063971042633057,69.68212620412659,0.9102458795406916,67.63441829646105,0.9427896824657831,0.00444655918286988
ridge_0.1,0.3,0.09030032157897949,69.64674571657179,0.9113081223361373,67.646737261733,0.9424308385103918,0.017774714433267606
ridge_1,0.3,0.09836125373840332,69.64606297893641,0.9113286204463806,67.64577296648775,0.9424589278435725,0.017769195892159334
ridge_0.1,0.2,0.09030032157897949,69.44699752828171,0.9173052435907783,67.40511619609958,0.9494691129907378,0.01734179418137684
ridge_1,0.2,0.09836125373840332,69.44644016430301,0.917321977556637,67.40439024913779,0.94949025938359,0.017337804176989144
random_forest_leaf5,0.1,27.14062738418579,69.44547845314574,0.9173508514026105,67.38361726524971,0.9500953637522711,0.014496076738753496
extra_trees_leaf5,0.1,6.221436500549316,69.39586383897495,0.9188404511818704,67.35891437313622,0.9508149439540112,0.01400884092681719
hgb_31,0.1,2.6571922302246094,69.38357059009006,0.9192095364026538,67.30613303515696,0.9523524321823822,0.010987041437299292
hgb_15_l2,0.1,0.9063971042633057,69.33735129335116,0.9205971971830607,67.25382422134287,0.9538761560696178,0.01033705089101204
ridge_0.1,0.1,0.09030032157897949,69.21650004135186,0.9242255635688543,67.13354395691142,0.9573798469146928,0.0168008881749458
ridge_1,0.1,0.09836125373840332,69.21617113423966,0.9242354384811142,67.13314224456664,0.9573915485506298,0.016798801547732615
ridge_0.1,0.0,0.09030032157897949,68.95594283365008,0.9320483787930359,66.83374279146224,0.9661128722675418,0.016188200669347796
ridge_1,0.0,0.09836125373840332,68.95594283365008,0.9320483787930359,66.83374279146224,0.9661128722675418,0.016188200669347796
hgb_31,0.0,2.6571922302246094,68.95594283365008,0.9320483787930359,66.83374279146224,0.9661128722675418,0.016188200669347796
hgb_15_l2,0.0,0.9063971042633057,68.95594283365008,0.9320483787930359,66.83374279146224,0.9661128722675418,0.016188200669347796
extra_trees_leaf5,0.0,6.221436500549316,68.95594283365008,0.9320483787930359,66.83374279146224,0.9661128722675418,0.016188200669347796
random_forest_leaf5,0.0,27.14062738418579,68.95594283365008,0.9320483787930359,66.83374279146224,0.9661128722675418,0.016188200669347796
