model,val_FIT_sim,test_FIT_sim,test_RMSE_sim,test_gain_vs_arx
Hybrid Residual V1 best-by-val,71.22978762239715,69.45503866808122,0.8897561199062439,2.621295876618973
NARX V6 selected,70.18367926430456,68.53103249559682,0.9166077951621896,1.697289704134576
ARX Search V1 best,68.95594283365008,66.83374279146224,0.9661128722675418,0.0
