input_set,model,na,nb,nk,alpha,physical_memory_seconds,input_delay_seconds,input_memory_seconds,n_input_cols,n_params,val_FIT_1step,val_FIT_sim,val_block_FIT_sim,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_robust_score
outdoor,ARX_na12_nb3_nk2_alpha10,12,3,2,10.0,240,40,60,23,82,95.28341206124063,70.3811726661143,"[74.17690335141191, 56.93522742807494, 77.60708198695482, 71.23716147475999]",69.98909356030042,7.866584281508979,66.05580141954593
outdoor,ARX_na24_nb3_nk1_alpha1,24,3,1,1.0,480,20,60,23,94,95.17124389599081,65.11182501986538,"[68.53902442474946, 53.74822431737456, 70.46126209746053, 66.63707169354718]",64.84639563328292,6.548628866262172,61.572081200151835
outdoor,ARX_na24_nb3_nk1_alpha0.1,24,3,1,0.1,480,20,60,23,94,95.17341360334902,65.1267695734609,"[68.61020515342464, 53.67976473942535, 70.56739173180105, 66.48236663777085]",64.83493206560547,6.600484441630272,61.534689844790336
outdoor,ARX_na18_nb3_nk1_alpha1,18,3,1,1.0,360,20,60,23,88,95.16944374350858,64.95631243684268,"[68.20104459134302, 53.65276208032187, 70.41545592736398, 66.51784691052825]",64.69677737738928,6.52437240642956,61.4345911741745
outdoor,ARX_na18_nb3_nk1_alpha0.1,18,3,1,0.1,360,20,60,23,88,95.17160461052747,64.98891405408843,"[68.32391839849666, 53.590846850896725, 70.52801974404113, 66.36382528020403]",64.70165256840963,6.58179660171225,61.4107542675535
outdoor,ARX_na24_nb3_nk1_alpha10,24,3,1,10.0,480,20,60,23,94,95.12917011523268,64.51622930736518,"[67.5351600168065, 53.372975465355644, 69.09735917253789, 67.30203574857725]",64.32688260081932,6.361802191286388,61.145981505176124
outdoor,ARX_na18_nb3_nk1_alpha10,18,3,1,10.0,360,20,60,23,88,95.12748728289837,64.2880336794779,"[67.0459886430938, 53.17800224856798, 69.00757420724166, 67.16399840311378]",64.09889087550431,6.352976661785455,60.922402544611586
outdoor,ARX_na12_nb3_nk1_alpha1,12,3,1,1.0,240,20,60,23,82,95.16838952262432,64.07647579054735,"[66.35780578065689, 53.10389050814275, 69.56506942570617, 67.22098260947465]",64.06193708099511,6.4345518886962845,60.84466113664696
outdoor,ARX_na12_nb3_nk1_alpha0.1,12,3,1,0.1,240,20,60,23,82,95.17063186729588,64.12451422916641,"[66.51426142533133, 53.031532012997374, 69.67542765549722, 67.08738637630142]",64.07715186753184,6.487438334263961,60.83343270039986
outdoor,ARX_na12_nb3_nk1_alpha10,12,3,1,10.0,240,20,60,23,82,95.12587616745375,63.34591805421592,"[65.00122888195308, 52.59893044910664, 68.25206829717317, 67.70796492409352]",63.3900481380816,6.350743455790567,60.21467641018632
