candidate_id,order,na,nb,nk,residual_model,shrink,train_seconds,arx_val_FIT_sim,arx_test_FIT_sim,val_FIT_sim,val_RMSE_sim,test_FIT_sim,test_RMSE_sim,test_Bias_sim
16,"(5,3,2)",5,3,2,random_forest_leaf5,0.8,21.38189172744751,68.78755294643855,66.49222223827536,71.32707032483742,0.860848142619235,69.39655446588627,0.8914389760294215,-0.006308354603963228
16,"(5,3,2)",5,3,2,random_forest_leaf5,1.0,21.38189172744751,68.78755294643855,66.49222223827536,71.29044717396893,0.8619476804676233,69.37757110125666,0.8919919370059279,-0.011719561748029421
4,"(1,5,2)",1,5,2,random_forest_leaf5,0.8,19.904154062271118,68.95594283365008,66.83374279146224,71.25549685427741,0.8630079313609289,69.410977951654,0.8910395817401796,0.0011254737511162132
12,"(2,5,2)",2,5,2,random_forest_leaf5,0.8,19.580581665039062,68.79523200462317,66.40197582319377,71.25073194320414,0.8631509902277883,69.24590679889758,0.895848003881855,0.0029598714884492244
26,"(3,1,2)",3,1,2,hgb_31,1.0,1.1916775703430176,68.17677007356254,65.87835493837217,71.22780157023111,0.8637941371306103,69.51398214201089,0.8879770716397549,0.0016165770179674373
12,"(2,5,2)",2,5,2,random_forest_leaf5,1.0,19.580581665039062,68.79523200462317,66.40197582319377,71.21864602560773,0.8641143188068325,69.24990274570237,0.8957316043851995,-0.0024128261890123577
4,"(1,5,2)",1,5,2,random_forest_leaf5,1.0,19.904154062271118,68.95594283365008,66.83374279146224,71.20218561925253,0.8646085162944682,69.36761458407157,0.8923027302269942,-0.004447182036449147
24,"(1,3,2)",1,3,2,random_forest_leaf5,0.8,20.510611057281494,68.2398097308059,66.16944624211062,71.2018941715007,0.864591773725353,69.50270838801353,0.8883259042570223,0.007241996658268689
24,"(1,3,2)",1,3,2,random_forest_leaf5,1.0,20.510611057281494,68.2398097308059,66.16944624211062,71.19113940442863,0.8649146589593408,69.48279228475285,0.888906021031437,0.001536422941453534
30,"(2,1,2)",2,1,2,hgb_31,1.0,1.1354668140411377,68.15954878440277,65.9516786753371,71.18899631175508,0.8649385928390666,69.50923071389693,0.8880964366551936,-0.028067627165529782
