order,na,nb,nk,arx_val_FIT_sim,arx_test_FIT_sim,arx_test_RMSE_sim
"(1,5,2)",1,5,2,68.95594283365008,66.83374279146224,0.9661128722675418
"(5,1,2)",5,1,2,68.84107198659018,66.41757488973361,0.9782128165768166
"(2,5,2)",2,5,2,68.79523200462317,66.40197582319377,0.978689981081518
"(5,3,2)",5,3,2,68.78755294643855,66.49222223827536,0.9760384353989463
"(1,1,2)",1,1,2,68.25214916263313,66.26345701580551,0.9826352142247682
"(1,3,2)",1,3,2,68.2398097308059,66.16944624211062,0.9854172508447013
"(3,1,2)",3,1,2,68.17677007356254,65.87835493837217,0.9938732766770725
"(2,1,2)",2,1,2,68.15954878440277,65.9516786753371,0.9917162980963535
