step,action,label,n_input_cols,selected_model,val_robust_score,delta_val_robust,val_FIT_sim,test_FIT_sim,delta_test_FIT_sim,test_FIT_60,test_RMSE_sim
0,baseline,baseline_17,17,ARX_na12_nb3_nk2_alpha0.1,75.27019517628783,0.0,79.0831507755207,78.95030564001647,0.0,88.04670256366803,0.20209642115504203
1,add_actuator_event_edges,greedy_add_actuator_event_edges,20,ARX_na18_nb3_nk3_alpha1,77.37560772780596,2.1054125515181283,82.91746328936934,76.97507162268435,-1.975234017332113,88.382326860663,0.221060305764038
2,add_mist_context_interactions,greedy_add_mist_context_interactions,23,ARX_na18_nb6_nk2_alpha10,77.59234869511485,2.3221535188270224,83.46305239881386,83.24212898829613,4.291823348279664,89.34105809590896,0.1608908409657106
3,add_drip_context_interactions,greedy_add_drip_context_interactions,26,ARX_na18_nb6_nk2_alpha10,77.6505399619043,2.3803447856164723,83.53112904958047,83.29627512967714,4.345969489660675,89.32606672855322,0.16037098863985394
