Timestamp,Temperature,Humidity,Light,Soil_Moisture,Drip,Mist,Fan
2026-06-08 21:54:00,29.40,47.70,41.00,45.01,0,0,0
2026-06-08 21:54:05,29.30,47.60,39.00,45.18,0,0,0
2026-06-08 21:54:10,29.30,47.40,43.00,44.98,0,0,0
2026-06-08 21:54:15,29.30,47.20,44.00,45.23,0,0,0
2026-06-08 21:54:20,29.30,47.30,41.00,45.35,0,0,0
2026-06-08 21:54:25,29.40,47.30,43.00,45.30,0,0,0
2026-06-08 21:54:30,29.30,47.20,41.00,45.62,0,0,0
2026-06-08 21:54:35,29.30,47.10,43.00,45.30,0,0,0
2026-06-08 21:54:40,29.30,46.90,42.00,45.62,0,0,0
2026-06-08 21:54:45,29.30,47.00,46.00,45.57,0,0,0
2026-06-08 21:54:50,29.30,47.00,42.00,45.13,0,0,0
2026-06-08 21:54:55,29.30,46.90,43.00,45.74,1,0,0
2026-06-08 21:55:00,29.30,46.80,36.00,46.08,1,0,0
2026-06-08 21:55:05,29.30,46.90,41.00,46.01,1,0,0
2026-06-08 21:55:10,29.30,47.10,42.00,47.42,1,0,0
2026-06-08 21:55:15,29.30,47.00,42.00,47.91,1,0,0
2026-06-08 21:55:20,29.30,46.90,43.00,48.38,1,0,0
2026-06-08 21:55:25,29.30,46.70,46.00,47.72,1,0,0
2026-06-08 21:55:30,29.30,46.50,40.00,48.40,1,0,0
2026-06-08 21:55:35,29.30,46.30,41.00,48.43,1,0,0
2026-06-08 21:55:40,29.30,46.30,42.00,48.86,1,0,0
2026-06-08 21:55:45,29.30,46.60,42.00,48.84,1,0,0
2026-06-08 21:55:50,29.30,46.80,43.00,48.99,1,0,0
2026-06-08 21:55:55,29.30,46.90,43.00,49.79,1,0,0
2026-06-08 21:56:00,29.30,46.90,42.00,50.04,1,0,0
2026-06-08 21:56:05,29.30,46.90,44.00,50.35,1,0,0
2026-06-08 21:56:10,29.30,47.00,42.00,50.65,1,0,0
2026-06-08 21:56:15,29.30,47.10,43.00,50.89,1,0,0
2026-06-08 21:56:20,29.30,47.10,42.00,50.79,1,0,0
2026-06-08 21:56:25,29.30,47.00,40.00,50.87,1,0,0
2026-06-08 21:56:30,29.30,46.70,45.00,51.09,1,0,0
2026-06-08 21:56:35,29.30,46.70,42.00,51.09,1,0,0
2026-06-08 21:56:40,29.30,46.70,42.00,51.40,1,0,0
2026-06-08 21:56:45,29.30,46.90,41.00,51.28,1,0,0
2026-06-08 21:56:50,29.30,46.70,41.00,50.89,1,0,0
2026-06-08 21:56:55,29.30,46.50,40.00,50.84,1,0,0
2026-06-08 21:57:00,29.30,46.30,44.00,51.43,1,0,0
2026-06-08 21:57:05,29.30,46.40,40.00,51.18,1,0,0
2026-06-08 21:57:10,29.30,46.60,42.00,50.38,1,0,0
2026-06-08 21:57:15,29.30,46.70,42.00,51.33,1,0,0
2026-06-08 21:57:20,29.30,46.80,42.00,50.99,1,0,0
2026-06-08 21:57:25,29.30,46.70,44.00,51.16,1,0,0
2026-06-08 21:57:30,29.30,46.60,42.00,50.06,1,0,0
2026-06-08 21:57:35,29.30,46.60,34.00,51.18,1,0,0
2026-06-08 21:57:40,29.30,46.80,32.00,51.16,1,0,0
2026-06-08 21:57:45,29.30,46.80,44.00,51.14,1,0,0
2026-06-08 21:57:50,29.30,46.70,42.00,51.72,1,0,0
2026-06-08 21:57:55,29.30,46.60,39.00,50.77,1,0,0
2026-06-08 21:58:00,29.30,46.60,43.00,50.77,1,0,0
2026-06-08 21:58:05,29.30,46.60,41.00,51.92,1,0,0
2026-06-08 21:58:10,29.30,46.60,44.00,48.99,1,0,0
2026-06-08 21:58:15,29.30,46.40,41.00,51.01,1,0,0
2026-06-08 21:58:20,29.30,46.20,42.00,51.04,0,0,0
2026-06-08 21:58:25,29.30,46.10,42.00,50.77,0,0,0
2026-06-08 21:58:30,29.30,46.10,39.00,49.30,0,0,0
2026-06-08 21:58:35,29.30,46.20,36.00,48.84,0,0,0
2026-06-08 21:58:40,29.30,46.30,42.00,48.60,0,0,0
2026-06-08 21:58:45,29.30,46.50,44.00,48.08,0,0,0
2026-06-08 21:58:50,29.20,46.50,40.00,48.38,0,0,0
2026-06-08 21:58:55,29.30,46.50,41.00,48.25,0,0,0
2026-06-08 21:59:00,29.30,46.60,42.00,48.28,0,0,0
2026-06-08 21:59:05,29.30,46.80,42.00,47.79,0,0,0
2026-06-08 21:59:10,29.30,46.80,44.00,47.64,0,0,0
2026-06-08 21:59:15,29.30,46.60,42.00,48.08,0,0,0
2026-06-08 21:59:20,29.30,46.50,42.00,47.69,0,0,0
2026-06-08 21:59:25,29.30,46.70,0.00,47.60,0,0,0
2026-06-08 21:59:30,29.30,47.00,41.00,47.91,0,0,0
2026-06-08 21:59:35,29.30,47.10,43.00,47.55,0,0,0
2026-06-08 21:59:40,29.20,47.00,42.00,48.03,0,0,0
2026-06-08 21:59:45,29.30,46.80,42.00,47.89,0,0,0
2026-06-08 21:59:50,29.20,46.70,42.00,47.89,0,0,0
2026-06-08 21:59:55,29.30,46.90,43.00,47.64,0,0,0
2026-06-08 22:00:00,29.30,47.10,42.00,47.62,0,0,0
2026-06-08 22:00:05,29.30,47.20,42.00,47.67,0,0,0
2026-06-08 22:00:10,29.30,47.30,42.00,48.16,0,0,0
2026-06-08 22:00:15,29.30,47.30,42.00,48.03,0,0,0
2026-06-08 22:00:20,29.30,47.20,43.00,47.77,0,0,0
2026-06-08 22:00:25,29.30,47.20,42.00,47.67,0,0,0
2026-06-08 22:00:30,29.30,47.20,45.00,47.77,0,0,0
2026-06-08 22:00:35,29.30,47.20,42.00,48.03,0,0,0
2026-06-08 22:00:40,29.20,47.00,41.00,47.67,0,0,0
2026-06-08 22:00:45,29.30,46.80,41.00,48.03,0,0,0
2026-06-08 22:00:50,29.30,46.70,43.00,48.21,0,0,0
2026-06-08 22:00:55,29.30,46.80,39.00,48.03,0,0,0
2026-06-08 22:01:00,29.30,46.90,41.00,48.30,0,0,0
2026-06-08 22:01:05,29.30,46.90,40.00,47.96,0,0,0
2026-06-08 22:01:10,29.30,47.00,41.00,48.40,0,0,0
2026-06-08 22:01:15,29.30,47.10,41.00,48.30,0,0,0
2026-06-08 22:01:20,29.20,47.10,40.00,48.11,0,0,0
2026-06-08 22:01:25,29.30,47.10,36.00,48.40,0,0,0
2026-06-08 22:01:30,29.30,47.20,42.00,48.35,0,0,0
2026-06-08 22:01:35,29.30,47.30,40.00,48.65,0,0,0
2026-06-08 22:01:40,29.30,47.50,40.00,48.28,0,0,0
2026-06-08 22:01:45,29.30,47.50,43.00,48.60,0,0,0
2026-06-08 22:01:50,29.30,47.60,40.00,48.28,0,0,0
2026-06-08 22:01:55,29.30,47.60,43.00,48.45,0,0,0
